Rhyme,Subgroup
東,東
冬,冬
鍾,鍾
江,江
支,支
脂,脂
之,之
微,微
魚,魚
虞,虞
模,模
齊,齊
佳,佳
皆,皆
灰,灰
咍,咍
眞,眞
諄,諄
臻,臻
文,文
欣,欣
元,元
魂,魂
痕,痕
寒,寒
桓,桓
刪,刪
山,山
先,先
仙,仙
蕭,蕭
宵,宵
肴,肴
豪,豪
歌,歌
戈,戈
麻,麻
陽,陽
唐,唐
庚,庚
耕,耕
清,清
青,青
蒸,蒸
登,登
尤,尤
侯,侯
幽,幽
侵,侵
覃,覃
談,談
鹽,鹽
添,添
咸,咸
銜,銜
嚴,嚴
凡,凡
董,東
湩,冬
腫,鍾
講,江
紙,支
旨,脂
止,之
尾,微
語,魚
麌,虞
姥,模
薺,齊
蟹,佳
駭,皆
賄,灰
海,咍
軫,眞
準,諄
𧤛,臻
吻,文
隱,欣
阮,元
混,魂
很,痕
旱,寒
緩,桓
潸,刪
產,山
銑,先
獮,仙
篠,蕭
小,宵
巧,肴
晧,豪
哿,歌
果,戈
馬,麻
養,陽
蕩,唐
梗,庚
耿,耕
靜,清
迥,青
拯,蒸
等,登
有,尤
厚,侯
黝,幽
寑,侵
感,覃
敢,談
琰,鹽
忝,添
豏,咸
檻,銜
儼,嚴
梵,凡
送,東
宋,冬
用,鍾
絳,江
寘,支
至,脂
志,之
未,微
御,魚
遇,虞
暮,模
霽,齊
祭,祭
泰,泰
卦,佳
怪,皆
夬,夬
隊,灰
代,咍
廢,廢
震,眞
稕,諄
櫬,臻
問,文
焮,欣
願,元
慁,魂
恨,痕
翰,寒
換,桓
諫,刪
襇,山
霰,先
線,仙
嘯,蕭
笑,宵
效,肴
号,豪
箇,歌
過,戈
禡,麻
漾,陽
宕,唐
映,庚
諍,耕
勁,清
徑,青
證,蒸
嶝,登
宥,尤
候,侯
幼,幽
沁,侵
勘,覃
闞,談
豔,鹽
㮇,添
陷,咸
鑑,銜
釅,嚴
范,凡
屋,屋
沃,沃
燭,燭
覺,覺
質,質
術,術
櫛,櫛
物,物
迄,迄
月,月
沒,沒
麧,麧
曷,曷
末,末
黠,黠
鎋,鎋
屑,屑
薛,薛
藥,藥
鐸,鐸
陌,陌
麥,麥
昔,昔
錫,錫
職,職
德,德
緝,緝
合,合
盍,盍
葉,葉
怗,怗
洽,洽
狎,狎
業,業
乏,乏
