A韻序,A聲調,A韻名,A韻(調整前),B小韻序,B紐,B呼,B等,B上字(null),B下字(null),C小韻內字序(不是Int),C字
1,平,上平一,東,1,端,O,1,德,紅,1,東
1,平,上平一,東,1,端,O,1,德,紅,2,菄
1,平,上平一,東,1,端,O,1,德,紅,3,鶇
1,平,上平一,東,1,端,O,1,德,紅,4,䍶
1,平,上平一,東,1,端,O,1,德,紅,5,𠍀
1,平,上平一,東,1,端,O,1,德,紅,6,倲
1,平,上平一,東,1,端,O,1,德,紅,7,𩜍
1,平,上平一,東,1,端,O,1,德,紅,8,𢘐
1,平,上平一,東,1,端,O,1,德,紅,9,涷
1,平,上平一,東,1,端,O,1,德,紅,10,蝀
1,平,上平一,東,1,端,O,1,德,紅,11,凍
1,平,上平一,東,1,端,O,1,德,紅,12,鯟
1,平,上平一,東,1,端,O,1,德,紅,13,𢔅
1,平,上平一,東,1,端,O,1,德,紅,14,崠
1,平,上平一,東,1,端,O,1,德,紅,15,埬
1,平,上平一,東,1,端,O,1,德,紅,16,𧓕
1,平,上平一,東,1,端,O,1,德,紅,17,䰤
1,平,上平一,東,2,定,O,1,徒,紅,1,同
1,平,上平一,東,2,定,O,1,徒,紅,2,仝
1,平,上平一,東,2,定,O,1,徒,紅,3,童
1,平,上平一,東,2,定,O,1,徒,紅,4,僮
1,平,上平一,東,2,定,O,1,徒,紅,5,銅
1,平,上平一,東,2,定,O,1,徒,紅,6,桐
1,平,上平一,東,2,定,O,1,徒,紅,7,峒
1,平,上平一,東,2,定,O,1,徒,紅,8,硐
1,平,上平一,東,2,定,O,1,徒,紅,9,𦨴
1,平,上平一,東,2,定,O,1,徒,紅,10,𧱁
1,平,上平一,東,2,定,O,1,徒,紅,11,筒
1,平,上平一,東,2,定,O,1,徒,紅,12,瞳
1,平,上平一,東,2,定,O,1,徒,紅,13,㼧
1,平,上平一,東,2,定,O,1,徒,紅,14,𤭁
1,平,上平一,東,2,定,O,1,徒,紅,15,罿
1,平,上平一,東,2,定,O,1,徒,紅,16,犝
1,平,上平一,東,2,定,O,1,徒,紅,17,筩
1,平,上平一,東,2,定,O,1,徒,紅,18,潼
1,平,上平一,東,2,定,O,1,徒,紅,19,曈
1,平,上平一,東,2,定,O,1,徒,紅,20,洞
1,平,上平一,東,2,定,O,1,徒,紅,21,侗
1,平,上平一,東,2,定,O,1,徒,紅,22,橦
1,平,上平一,東,2,定,O,1,徒,紅,23,烔
1,平,上平一,東,2,定,O,1,徒,紅,24,䴀
1,平,上平一,東,2,定,O,1,徒,紅,25,挏
1,平,上平一,東,2,定,O,1,徒,紅,26,酮
1,平,上平一,東,2,定,O,1,徒,紅,27,鮦
1,平,上平一,東,2,定,O,1,徒,紅,28,㼿
1,平,上平一,東,2,定,O,1,徒,紅,29,𦏆
1,平,上平一,東,2,定,O,1,徒,紅,30,𦍻
1,平,上平一,東,2,定,O,1,徒,紅,31,眮
1,平,上平一,東,2,定,O,1,徒,紅,32,蕫
1,平,上平一,東,2,定,O,1,徒,紅,33,穜
1,平,上平一,東,2,定,O,1,徒,紅,34,衕
1,平,上平一,東,2,定,O,1,徒,紅,35,𩍅
1,平,上平一,東,2,定,O,1,徒,紅,36,𢈉
1,平,上平一,東,2,定,O,1,徒,紅,37,䆚
1,平,上平一,東,2,定,O,1,徒,紅,38,哃
1,平,上平一,東,2,定,O,1,徒,紅,39,𢏕
1,平,上平一,東,2,定,O,1,徒,紅,40,絧
1,平,上平一,東,2,定,O,1,徒,紅,41,𨚯
1,平,上平一,東,2,定,O,1,徒,紅,42,𨝯
1,平,上平一,東,2,定,O,1,徒,紅,43,𪔜
1,平,上平一,東,2,定,O,1,徒,紅,44,𩦶
1,平,上平一,東,2,定,O,1,徒,紅,45,𪒿
1,平,上平一,東,3,知,O,3,陟,弓,1,中
1,平,上平一,東,3,知,O,3,陟,弓,2,衷
1,平,上平一,東,3,知,O,3,陟,弓,3,忠
1,平,上平一,東,3,知,O,3,陟,弓,4,𦬕
1,平,上平一,東,4,澄,O,3,直,弓,1,蟲
1,平,上平一,東,4,澄,O,3,直,弓,2,沖
1,平,上平一,東,4,澄,O,3,直,弓,3,种
1,平,上平一,東,4,澄,O,3,直,弓,4,盅
1,平,上平一,東,4,澄,O,3,直,弓,5,爞
1,平,上平一,東,4,澄,O,3,直,弓,6,𦬕
1,平,上平一,東,4,澄,O,3,直,弓,7,翀
1,平,上平一,東,5,章,O,3,職,戎,1,終
1,平,上平一,東,5,章,O,3,職,戎,2,眾
1,平,上平一,東,5,章,O,3,職,戎,3,潀
1,平,上平一,東,5,章,O,3,職,戎,4,𣧩
1,平,上平一,東,5,章,O,3,職,戎,5,螽
1,平,上平一,東,5,章,O,3,職,戎,6,𧑄
1,平,上平一,東,5,章,O,3,職,戎,7,鼨
1,平,上平一,東,5,章,O,3,職,戎,8,蔠
1,平,上平一,東,5,章,O,3,職,戎,9,柊
1,平,上平一,東,5,章,O,3,職,戎,10,𩅧
1,平,上平一,東,5,章,O,3,職,戎,11,䶱
1,平,上平一,東,5,章,O,3,職,戎,12,鴤
1,平,上平一,東,5,章,O,3,職,戎,13,䈺
1,平,上平一,東,5,章,O,3,職,戎,14,泈
1,平,上平一,東,5,章,O,3,職,戎,15,䝦
1,平,上平一,東,6,徹,O,3,敕,中,1,忡
1,平,上平一,東,6,徹,O,3,敕,中,2,浺
1,平,上平一,東,6,徹,O,3,敕,中,3,盅
1,平,上平一,東,7,崇,O,3,鋤,弓,1,崇
1,平,上平一,東,7,崇,O,3,鋤,弓,2,崈
1,平,上平一,東,7,崇,O,3,鋤,弓,3,㓽
1,平,上平一,東,7,崇,O,3,鋤,弓,4,𩞉
1,平,上平一,東,8,心,O,3,息,弓,1,嵩
1,平,上平一,東,8,心,O,3,息,弓,2,崧
1,平,上平一,東,8,心,O,3,息,弓,3,𪀚
