Rhyme,Subgroup
東,東
冬,冬
鍾,鍾
江,江
支,支
支A,支A
支B,支B
脂,脂
脂A,脂A
脂B,脂B
之,之
微,微
魚,魚
虞,虞
模,模
齊,齊
佳,佳
皆,皆
灰,灰
咍,咍
眞,眞
眞A,眞A
眞B,眞B
諄,諄
諄A,諄A
臻,臻
文,文
欣,欣
元,元
魂,魂
痕,痕
寒,寒
桓,桓
刪,刪
山,山
先,先
仙,仙
仙A,仙A
仙B,仙B
蕭,蕭
宵,宵
宵A,宵A
宵B,宵B
肴,肴
豪,豪
歌,歌
戈,戈
麻,麻
陽,陽
唐,唐
庚,庚
耕,耕
清,清
清A,清A
青,青
蒸,蒸
登,登
尤,尤
侯,侯
幽,幽
侵,侵
侵A,侵A
侵B,侵B
覃,覃
談,談
鹽,鹽
鹽A,鹽A
鹽B,鹽B
添,添
咸,咸
銜,銜
嚴,嚴
凡,凡
董,東
湩,冬
腫,鍾
講,江
紙,支
紙A,支A
紙B,支B
旨,脂
旨A,脂A
旨B,脂B
止,之
尾,微
語,魚
麌,虞
姥,模
薺,齊
蟹,佳
駭,皆
賄,灰
海,咍
軫,眞
軫A,眞A
軫B,眞B
準,諄
準A,諄A
𧤛,臻
吻,文
隱,欣
阮,元
混,魂
很,痕
旱,寒
緩,桓
潸,刪
產,山
銑,先
獮,仙
獮A,仙A
獮B,仙B
篠,蕭
小,宵
小A,宵A
小B,宵B
巧,肴
晧,豪
哿,歌
果,戈
馬,麻
養,陽
蕩,唐
梗,庚
耿,耕
靜,清
靜A,清A
迥,青
拯,蒸
等,登
有,尤
厚,侯
黝,幽
寑,侵
寑A,侵A
寑B,侵B
感,覃
敢,談
琰,鹽
琰A,鹽A
琰B,鹽B
忝,添
豏,咸
檻,銜
儼,嚴
梵,凡
送,東
宋,冬
用,鍾
絳,江
寘,支
寘A,支A
寘B,支B
至,脂
至A,脂A
至B,脂B
志,之
未,微
御,魚
遇,虞
暮,模
霽,齊
祭,祭
祭A,祭A
祭B,祭B
泰,泰
卦,佳
怪,皆
夬,夬
隊,灰
代,咍
廢,廢
震,眞
震A,眞A
震B,眞B
稕,諄
稕A,諄A
櫬,臻
問,文
焮,欣
願,元
慁,魂
恨,痕
翰,寒
換,桓
諫,刪
襇,山
霰,先
線,仙
線A,仙A
線B,仙B
嘯,蕭
笑,宵
笑A,宵A
笑B,宵B
效,肴
号,豪
箇,歌
過,戈
禡,麻
漾,陽
宕,唐
映,庚
諍,耕
勁,清
勁A,清A
徑,青
證,蒸
嶝,登
宥,尤
候,侯
幼,幽
沁,侵
沁A,侵A
沁B,侵B
勘,覃
闞,談
豔,鹽
豔A,鹽A
豔B,鹽B
㮇,添
陷,咸
鑑,銜
釅,嚴
范,凡
屋,屋
沃,沃
燭,燭
覺,覺
質,質
質A,質A
質B,質B
術,術
術A,術A
櫛,櫛
物,物
迄,迄
月,月
沒,沒
麧,麧
曷,曷
末,末
黠,黠
鎋,鎋
屑,屑
薛,薛
薛A,薛A
薛B,薛B
藥,藥
鐸,鐸
陌,陌
麥,麥
昔,昔
昔A,昔A
錫,錫
職,職
德,德
緝,緝
緝A,緝A
緝B,緝B
合,合
盍,盍
葉,葉
葉A,葉A
葉B,葉B
怗,怗
洽,洽
狎,狎
業,業
乏,乏
